Enero,febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
248,236,289,300,267,225,266,265,259,279,269,335
246,253,241,232,276,213,198,201,222,229,193,237
182,180,200,192,233,211,227,220,174,187,181,197
124,102,137,130,144,168,149,164,168,156,90,156
117,124,133,119,155,140,133,120,130,134,138,102
155,140,137,125,146,102,129,114,119,113,132,122
104,117,119,138,137,118,117,128,131,133,119,133
136,115,108,105,133,104,121,135,136,127,135,112
84,87,93,116,123,110,90,123,112,115,92,107
118,94,100,83,132,90,111,91,98,116,100,95
101,76,115,121,108,102,94,80,83,104,101,81
86,86,109,105,95,75,18,87,92,99,101,128
39,37,43,43,55,39,39,37,47,41,56,56
20,19,18,16,20,10,23,21,22,18,18,26
11,21,15,22,18,17,15,22,13,25,18,24
9,8,18,11,15,12,15,8,19,19,13,10
